;date;CO;NO;NO2;NOX;O3;PM10;PM2.5;PRS;RAINF;RH;SO2;SR;TOUT;WSR;WDR
0;2025-01-01 00:00:00;2.42;5.9;13.1;26.6;24.0;84.0;;;;;5.4;;17.9;12.2;
1;2025-01-01 01:00:00;2.12;3.0;7.1;10.3;42.0;81.0;75.52;713.8;0.0;56.0;5.0;0.0;17.04;8.0;69.0
2;2025-01-01 02:00:00;2.11;2.8;6.2;9.3;41.0;63.0;35.3;713.8;0.0;63.0;4.7;0.0;16.19;7.9;114.0
3;2025-01-01 03:00:00;2.1;2.6;5.6;8.5;41.0;46.0;26.88;713.7;0.0;67.0;4.5;0.0;15.88;8.2;108.0
4;2025-01-01 04:00:00;2.11;2.6;5.7;8.5;39.0;39.0;21.69;713.7;0.0;71.0;4.6;0.0;15.38;7.1;89.0
5;2025-01-01 05:00:00;2.18;2.6;12.5;15.3;29.0;35.0;20.41;714.0;0.0;77.0;4.6;0.0;14.32;6.9;47.0
6;2025-01-01 06:00:00;2.18;3.0;14.0;17.2;28.0;50.0;31.38;714.3;0.0;84.0;4.9;0.0;13.58;5.6;53.0
7;2025-01-01 07:00:00;2.14;2.5;9.1;11.8;32.0;54.0;44.91;714.8;0.0;83.0;5.5;0.0;13.67;3.5;26.0
8;2025-01-01 08:00:00;2.16;3.0;19.8;23.0;18.0;52.0;43.29;715.3;0.0;82.0;5.7;0.007;13.44;1.8;299.0
9;2025-01-01 09:00:00;2.16;4.4;17.4;22.1;22.0;56.0;49.39;715.8;0.0;76.0;6.3;0.067;15.01;2.1;187.0
10;2025-01-01 10:00:00;2.12;5.3;15.0;20.5;32.0;55.0;44.53;716.3;0.0;70.0;6.6;0.142;15.81;5.4;76.0
11;2025-01-01 11:00:00;2.17;11.0;22.7;34.0;28.0;52.0;33.17;716.5;0.0;63.0;10.3;0.362;17.13;6.2;90.0
12;2025-01-01 12:00:00;2.07;5.2;12.3;17.7;42.0;54.0;44.01;716.5;0.0;58.0;9.2;0.464;17.91;9.0;75.0
13;2025-01-01 13:00:00;2.06;5.3;14.0;19.4;43.0;50.0;26.08;716.0;0.0;57.0;9.7;0.408;18.24;9.3;55.0
14;2025-01-01 14:00:00;2.08;3.9;11.9;16.1;47.0;50.0;23.61;715.4;0.0;56.0;8.5;0.304;18.5;10.0;55.0
15;2025-01-01 15:00:00;2.11;2.8;9.1;12.1;52.0;48.0;22.72;715.1;0.0;57.0;6.6;0.17;18.28;10.4;66.0
